label,video_name,frame_id,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20
Alapadmam,2.Alapadmam.mp4,0,0.0,0.0,0.0,-0.1417042741504308,-0.278325212841226,-0.10936123666300611,-0.23097710368380697,-0.6507628924861496,-0.17516721279129885,-0.3404989643147763,-0.9314994928884418,-0.23226585913944903,-0.4511810009631594,-1.0851161721454328,-0.30180018922265567,0.12924806476475048,-1.0637107790877542,-0.1299619639942719,0.15953047551497232,-1.4644024935735727,-0.17402361035852715,0.19007565474115148,-1.7270920787659807,-0.21764361648585706,0.2107434291854573,-1.9062843209198663,-0.2513944607117907,0.28924636452205943,-0.9488011610003659,-0.1269365884807427,0.45229811828073124,-1.2738541968334594,-0.1113757866145167,0.5551582259375877,-1.4572268465593907,-0.11129204045442258,0.6420145490434829,-1.5898024756035176,-0.1229666691975213,0.37387286926971786,-0.7219137304721551,-0.13752023372671535,0.5647993599049445,-0.9234067658265819,-0.16032645225450665,0.7017659726336298,-1.0721715626818276,-0.2307057089521772,0.824668951552474,-1.1985895969087295,-0.2971308044455892,0.3791386772615498,-0.44338918295054297,-0.15663300194264657,0.4404612917312358,-0.35637387387600133,-0.22574063436221184,0.4369712285356735,-0.2446794057467245,-0.26990101964481045,0.43673315106242283,-0.13096991090877091,-0.30211833680732536
Alapadmam,2.Alapadmam.mp4,1,0.0,0.0,0.0,-0.13730757487606418,-0.2809144513918825,-0.10831052538529555,-0.22491310615528995,-0.6478693124660625,-0.17445736721262528,-0.33364349355278067,-0.9297018332330174,-0.23134541683477558,-0.44257613402753515,-1.0941640264519061,-0.30133017828016545,0.14910928329829573,-1.0483933570885293,-0.12379476927258486,0.1690253497146469,-1.447057914700106,-0.16526529487913438,0.19803462779082387,-1.7052491885292365,-0.21142848840457815,0.21917908856684637,-1.891383099450362,-0.25099191920696506,0.29511058798893236,-0.9475365549034567,-0.12281782435182337,0.4331328954882554,-1.2838124909684494,-0.11564527805699482,0.511663834606731,-1.489183595458665,-0.1297816032076081,0.5709250699196345,-1.6485963578567222,-0.15231417719450202,0.36836915487700617,-0.7303239415802862,-0.13409077348085233,0.578999036407822,-0.9046474746827846,-0.1658450730775433,0.7246356353546537,-1.0406304051960178,-0.2471968909349903,0.8497507878754958,-1.1662947836816662,-0.3224134360731142,0.3625165241833383,-0.46212375109709264,-0.15257403742565326,0.423242690455285,-0.37177760688245187,-0.23463944265939193,0.41292453249117245,-0.25233795352438587,-0.2864259342519885,0.4003367659571582,-0.13759849223464218,-0.3240511638648517
Alapadmam,2.Alapadmam.mp4,2,0.0,0.0,0.0,-0.13543984015089666,-0.2866875827698761,-0.11261023414747998,-0.2164522142864113,-0.6605067853497948,-0.1774329228202699,-0.325760864834641,-0.9460762477049115,-0.23274828828678432,-0.4352017010926834,-1.1206813640294293,-0.3008971420591082,0.16099872120364667,-1.0527498178082033,-0.12059147978447193,0.18656514438398342,-1.4430798292996005,-0.15716164382744008,0.21787082894239695,-1.6987831610801947,-0.20112592120342632,0.2392757839881347,-1.8812810146858945,-0.23976770177458837,0.3101081714132159,-0.9431960481133991,-0.11922305501042148,0.45709451270706947,-1.2715372137294518,-0.10422147792930765,0.5414401102819153,-1.4639132697035877,-0.11380094754026338,0.6047066521135949,-1.6090098118443157,-0.13492667019787372,0.3830165294565944,-0.7201959769807772,-0.13169187896644077,0.5986832708502374,-0.8893583566276093,-0.16094120491924616,0.7432610932423234,-1.0083987334874556,-0.24319378765983343,0.8691634168669666,-1.121439149374872,-0.3199449093280035,0.37440064107375715,-0.4533600679278185,-0.15218058955851982,0.4392149068770876,-0.3437203576739318,-0.23693005069890352,0.4284717415606578,-0.21984190444412366,-0.29295133697888576,0.415784295143139,-0.10622630208968414,-0.33422255380411
Alapadmam,2.Alapadmam.mp4,3,0.0,0.0,0.0,-0.13781692138444623,-0.2902279866217781,-0.10187132359667936,-0.21180285497642254,-0.6695898494535101,-0.16033825538544696,-0.31491872372039337,-0.9628193393045614,-0.2107179035632608,-0.41869728930580125,-1.1402995824738382,-0.27496283916753766,0.1711274216584988,-1.05845176827452,-0.10527988092911202,0.2036073739201296,-1.4430344330917835,-0.13700079958599443,0.2431328715770851,-1.6979589244981563,-0.1769015226804131,0.27061442215248527,-1.8812348874383769,-0.21317071262477125,0.3190048037467992,-0.941490129682108,-0.10877624234010574,0.47249123748804306,-1.2655967282335794,-0.08934419134641254,0.5612099397819296,-1.4596329821624041,-0.09456291020582848,0.6281416201360792,-1.6106669071125685,-0.11209224131215231,0.39069537007330535,-0.7147595304038479,-0.12601366679796264,0.6072055645980791,-0.8764035110369227,-0.15339295026903743,0.7572236746798332,-0.9956029650621776,-0.2341831119198784,0.8898873549257453,-1.1103892444714154,-0.3099837298622064,0.38250779613836433,-0.4445609827984359,-0.15040893779237594,0.43551893930672886,-0.339915536478443,-0.23289765420434017,0.4100560067494687,-0.21551870156128233,-0.2862601137770913,0.3861202496047819,-0.10062762777159062,-0.32597628315779537
Alapadmam,2.Alapadmam.mp4,4,0.0,0.0,0.0,-0.12496127736837825,-0.3223646390052796,-0.1166681418472829,-0.19817166610953876,-0.7115346190134081,-0.18597192268938825,-0.28926241025815713,-1.005098781178438,-0.24876232832291303,-0.39278230358043387,-1.1846915037363697,-0.31944125102248916,0.2053776883079989,-1.060486928415158,-0.12367674470532679,0.24911048672944772,-1.469423268623757,-0.17065745894119516,0.2821277327987781,-1.7214909489890453,-0.21833593439395937,0.30625507834142046,-1.8991829092829706,-0.25653994808322883,0.34540675066373394,-0.9306235245096126,-0.12097120411580396,0.5009844880099003,-1.2647747011585155,-0.12465987215658716,0.6060727442840047,-1.4368533265890329,-0.14479319722845138,0.684242762811377,-1.5561999460103972,-0.17007578558879863,0.402049384710592,-0.7001345235584995,-0.13223041661055257,0.5850916915572485,-0.7269684910570737,-0.17513482475289455,0.6735070588781771,-0.6352028724935579,-0.24444838878051248,0.7359110096010294,-0.5913923174663208,-0.29934765662468826,0.3869912684111281,-0.44130313802191784,-0.1523440608137725,0.4516957561984266,-0.33151793494529197,-0.22791332951763604,0.44070805572604926,-0.21149674643601618,-0.27093453795411115,0.4204369900175897,-0.1158367839407196,-0.2986809751505839
Alapadmam,2.Alapadmam.mp4,5,0.0,0.0,0.0,-0.12517785182620464,-0.34846374777745187,-0.1076613915127596,-0.18180527790605044,-0.7453125213767852,-0.17176474875584294,-0.26380120435241516,-1.0549457722899982,-0.22672489008383098,-0.3633382733239016,-1.2483860861839426,-0.29213742307514956,0.2321644026803345,-1.0584053076439914,-0.10698012524974575,0.2867558196533931,-1.456821691155752,-0.15641230329227845,0.32706625431998493,-1.7010250732161596,-0.21340030765410856,0.35474335175922594,-1.8858440926342674,-0.25939168631042203,0.3713102239600797,-0.9223749519622089,-0.10655123450917113,0.5435104672562265,-1.2114974094580597,-0.10446822001584152,0.647008360545583,-1.3873888420575844,-0.12688634004393132,0.724106256981711,-1.5368344561435627,-0.15637060558138915,0.4246741295661805,-0.688786717556933,-0.1203775895758518,0.6526619388215039,-0.7564842494659102,-0.1525499700876137,0.8161499571025612,-0.8178738697896282,-0.22965640717209582,0.9492290923821425,-0.8864835582166649,-0.2999216321864142,0.39535682033938613,-0.43236911372221487,-0.14195724958956016,0.4580579584073112,-0.323809861660067,-0.21466852392931512,0.43754960881183286,-0.2344036563071089,-0.256365725688947,0.41034620551436596,-0.1541758349935401,-0.28768574694936444
Alapadmam,2.Alapadmam.mp4,6,0.0,0.0,0.0,-0.12168775266547475,-0.35841226015335403,-0.11327574481479505,-0.1746194796449466,-0.7689668694675743,-0.1788057114778404,-0.25064106371851175,-1.0939010392568447,-0.23419243788602595,-0.3478556686363365,-1.2966657823770404,-0.30075755628977124,0.2592468172838199,-1.0661318817523118,-0.11349678119257363,0.3221034217540447,-1.4738829556536246,-0.15987139122883065,0.37212000980339777,-1.7227982943972686,-0.2147667153856517,0.40937292501433564,-1.9059025002639065,-0.2600424172601453,0.40225655956391837,-0.9087512277459893,-0.11117943316080026,0.5863093953268522,-1.1975610120078497,-0.10442385334533377,0.6987040904135288,-1.3706944918799842,-0.12286332344019972,0.7843759903837962,-1.512645906688994,-0.1501844256476929,0.4531159977053039,-0.6565300318762962,-0.12350856436335582,0.6863870434153388,-0.7164723445019217,-0.15268752365106772,0.8554703956467394,-0.778061603149089,-0.23194588767369775,0.9976695829702412,-0.8426083550023572,-0.3048987720952884,0.41678661748214335,-0.3863923419522749,-0.14399882188339225,0.47269299114948843,-0.28427152359043906,-0.21652003681846332,0.44765991987336273,-0.1976917597145074,-0.25946102540803145,0.4184922241759197,-0.11174815706381837,-0.292141055326933
Alapadmam,2.Alapadmam.mp4,7,0.0,0.0,0.0,-0.11813309434863448,-0.37401944335432,-0.11869361821281864,-0.15926128566370062,-0.7990647844800882,-0.18228086409185532,-0.2233655427743348,-1.1426808967511868,-0.23338125491933312,-0.30791850486253375,-1.364528332563933,-0.2940783039641931,0.29053821834655225,-1.071908374337782,-0.11564535433569449,0.3656787888827152,-1.49253003159338,-0.15990820542410628,0.4271699847259677,-1.741243327880355,-0.2100393974585106,0.47263551751089383,-1.9193935917412948,-0.25122543122731616,0.43222385042739836,-0.8952626294770435,-0.10810812820303611,0.6288253889419972,-1.1776519226969175,-0.09851339583844901,0.7498241522496274,-1.3464867295965046,-0.11271796446941396,0.8402996466416347,-1.483520785226436,-0.13593773088741878,0.47826863693633903,-0.6281727388281279,-0.11580382259797403,0.7108517391549466,-0.6602150776317369,-0.14387671131148394,0.8866059211634109,-0.7141466593035884,-0.22501117769669302,1.0349282559595534,-0.7739593674441556,-0.29899136842794327,0.43388372155306515,-0.3539360084568782,-0.13203543153956826,0.4799815760056909,-0.24041490358503842,-0.20495696494062035,0.4373183730211685,-0.15937138024848305,-0.24924108065364364,0.39322169360621656,-0.07609964522808492,-0.2825165269531332
Alapadmam,2.Alapadmam.mp4,8,0.0,0.0,0.0,-0.10611315932741597,-0.39308491956042957,-0.1067513383614773,-0.12917382845537168,-0.8280743337599776,-0.1730034323115811,-0.18723474394871312,-1.199144352522496,-0.2307769392525635,-0.2659295328468159,-1.4373880186431274,-0.30244510420914283,0.323187292930531,-1.0880514074823937,-0.11536007709353145,0.42939420926565436,-1.5094626074531705,-0.15327262273920278,0.5092536290509662,-1.7685101093266582,-0.19558165276125086,0.5638064328104218,-1.9492144110809457,-0.23233902375819807,0.4641260706421528,-0.8782963191515654,-0.11481535748795542,0.6788782741799834,-1.1500636698526927,-0.0936497546554481,0.8040474342374262,-1.305533450720937,-0.09846688195754724,0.9031308175438236,-1.4384903300027014,-0.1159335958747569,0.5128699390378224,-0.5819864053854954,-0.12814802194691136,0.7598887722992573,-0.6672595147603952,-0.1467831575782116,0.9461468437221842,-0.7329120818019875,-0.22703853131417126,1.1151114128561808,-0.8039363477354032,-0.30509840530996185,0.4724300088413749,-0.2813650023029095,-0.14886505748424952,0.5032300745652718,-0.1975251309771101,-0.21787186756861324,0.45318316150087257,-0.12385789498756355,-0.2623414328543188,0.40786897776866055,-0.04427596928430518,-0.297853843537282
Alapadmam,2.Alapadmam.mp4,9,0.0,0.0,0.0,-0.09182918889780688,-0.40014084489380153,-0.1296251249243901,-0.10680070863484553,-0.8465919783526493,-0.20985700826775475,-0.16169669894390543,-1.221396431533835,-0.27710762551089624,-0.23911038017396494,-1.4805680417626048,-0.3570957121517792,0.3523303040007497,-1.0800975562569974,-0.1512676496567842,0.4642820461377157,-1.5054641147741814,-0.19888107013730447,0.5506022929853138,-1.7641164156573812,-0.2507563236988606,0.6136448061734879,-1.9493751233941283,-0.29579777516830746,0.49048231966114736,-0.8597761210379136,-0.1421693208565737,0.716017137419232,-1.1283607260814057,-0.1371100584117077,0.8566783883591251,-1.2759893394131603,-0.1571059046159089,0.9678060289665756,-1.407775826163832,-0.18736123069655466,0.5313997014950785,-0.5587750320956572,-0.14605356896814756,0.7899396145348341,-0.5790855443143696,-0.1762282516418594,0.9778664507090499,-0.5892622293431655,-0.2637123566765253,1.1435897348025628,-0.6257151009823444,-0.34692982707041353,0.4829521061831521,-0.26627529702302444,-0.15822556565663215,0.5350120701912614,-0.16738288551394767,-0.2389455268353197,0.49127382187704705,-0.09150946486042226,-0.28712040210270134,0.4459977066421935,-0.014796668873099978,-0.32510330428905415
